"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"LED3";"LED-5mm-PTH-AK";1;"LED/IR333-A/5mm";;;
2;"";"OLIMEX_LOGO_TB";1;"";;;
3;"U4";"QFN32_EP(33)_5.00x5.00x0.90mm_Pitch_0.50mm";1;"LAN8710A-EZC(QFN32)";;;
4;"USB-UART1";"USB-MICRO_MISB-SWMM-5B_LF";1;"MISB-SWMM-5B-LF(USB_MICRO)";;;
5;"R25";"0R_0603";1;"0R(board_mounted)";;;
6;"U3";"ESP-WROOM-32_MODULE";1;"ESP-WROOM-32";;;
7;"MICRO_SD1";"TFC-WXCP11-08-LF";1;"TFC-WXCP11-08-LF";;;
8;"CAN1";"TB3-3.5mm";1;"TB3-3.5mm";;;
9;"UEXT1";"UEXT_ML10";1;"BH10S";;;
10;"REL2,REL1";"Relay_RAS-05-15";2;"RAS-0515";;;
11;"LAN1";"RJLBC-060TC1";1;"RJLD-060TC1(LPJ4013EDNL)";;;
12;"400MA_E1";"SJ_Closed";1;"Closed";;;
13;"PHY_RST1,CAN_T1";"SJ";2;"Opened";;;
14;"MH1";"Mounting_hole_3.3mm";1;"Mounting_hole_Shield_3.3mm";;;
15;"BAT1";"LIPO_BAT-CON2DW02R";1;"DW02R";;;
16;"C1,C2,C10,C3,C4";"C_0805_5MIL_DWS";5;"47uF/6.3V/20%/X5R/C0805";;;
17;"C5,C6,C7,C8,C9,C12,C23";"C_0603_5MIL_DWS";7;"22uF/6.3V/20%/X5R/C0603";;;
18;"C11,C13,C14,C15,C17,C24,C25,C27,C28";"C_0603_5MIL_DWS";9;"100nF/50V/20%/Y5V/C0603";;;
19;"C16";"C_0603_5MIL_DWS";1;"2.2uF/6.3V/10%/X5R/C0603";;;
20;"C18,C26";"C_0603_5MIL_DWS";2;"10uF/6.3V/20%/X5R/C0603";;;
21;"CON1,CON2";"TB3-DG306-5.0_3P";2;"TB3 DG306-5.0-3P";;;
22;"CR1";"5032-4P_HCX-3S";1;"Q50MHz/25ppm/3V/4P/5x3.2mm";;;
23;"D1,D3,D5";"SOD-123_1C-2A_KA";3;"1N5819S4(SOD-123)";;;
24;"D2";"DO214AA";1;"SMBJ6.0A(DO-214AA)";;;
25;"D4,D6";"SMA-KA";2;"1N5822/SS34/SMA";;;
26;"FET1,FET2";"SOT23";2;"IRLML6402";;;
27;"GND1,THERM1";"TESTPAD_40-ROUND";2;"TESTPAD";;;
28;"L1,L3,L4";"L_0805_5MIL_DWS";3;"FB0805/600R/2A";;;
29;"L2";"CD32";1;"2.2uH/1.5A/DCR<0.1R/CD32";;;
30;"LED1,LED2,COMPLETE1";"LED_0603_KA";3;"LED/GREEN/0603";;;
31;"PWR1";"PWRJ-2mm(YDJ-1136)";1;"PWRJ-2mm(YDJ-1134)";;;
32;"PWR2";"TB2-DG306-5.0_2P";1;"NA(TB2 DG306-5.0-2P)";;;
33;"PWRLED1,PWR_GOOD1";"LED_0603_KA";2;"LED/RED/0603";;;
34;"Q1,Q2,Q4,Q5,Q7";"SOT23";5;"BC817-40(SOT23)";;;
35;"R1,R5,R12,R24,R41,R42,R55";"R_0603_5MIL_DWS";7;"1k/R0603";;;
36;"R2,R6,R13,R22,R23,R29,R34,R38,R30,R45,R49,R56";"R_0603_5MIL_DWS";12;"10k/R0603";;;
37;"R3,R7,R9,R11,R15,R18,R21,R4";"R_0603_5MIL_DWS";8;"2.2k/R0603";;;
38;"R8,R10,R19";"R_0603_5MIL_DWS";3;"4.99k/1%/R0603";;;
39;"R14,R16,R35,R40,R37";"R_0603_5MIL_DWS";5;"220R/R0603";;;
40;"R17,R46,R48,R54,R44";"R_0603_5MIL_DWS";5;"NA/R0603";;;
