"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"PWR2";"TB2-DG306-5.0_2P";1;"NA(TB2 DG306-5.0-2P)";;;
2;"PWR1";"PWRJ-2mm(YDJ-1136)";1;"PWRJ-2mm(YDJ-1134)";;;
3;"UEXT1";"UEXT_ML10";1;"BH10S(B-D-02x5-LF)";;;
4;"U3";"ESP-WROOM-32_MODULE";1;"ESP32-WROOM-32E-N4";;;
5;"R33,R32,R28,R31,R58";"R_0402_5MIL_DWS";5;"49.9R/1%/R0402";;;
6;"R43,R36";"R_0603_5MIL_DWS";2;"10R/R0603";;;
7;"EXT1";"HN2x20";1;"NA(HN2x20)";;;
8;"CAN1";"TB3-3.5mm";1;"TB3-3.5ММ(HD-351 3P)";;;
9;"LAN1";"RJLBC-060TC1";1;"RJLBC-060TC1(LPJ4013EDNL)";;;
10;"REL2,REL1";"Relay_RAS-05-15";2;"RAS-0515 (LEG-5)";;;
11;"BAT1";"LIPO_BAT-CON2DW02R";1;"DW02R";;;
12;"D4,D6";"SMA-KA";2;"1N5822/SS34/SMA";;;
13;"D5,D7,D8,D3,D1,D9";"SOD-123_1C-2A_KA";6;"1N5819S4(SOD-123)";;;
14;"Q3";"Q_49U3HMS";1;"Q12MHz/2P/20ppm/20pF/HU49SM";;;
15;"USB-UART1";"USB-MICRO_MISB-SWMM-5B_LF";1;"MISB-SWMM-5B-LF";;;
16;"BUT1,RST1";"T1107A(6x3,8x2,5MM)";2;"T1107A(6x3,8x2,5MM)";;;
17;"U6";"SOIC-8_150mil";1;"SIT1050T(SOIC-8_150mil)";;;
18;"U5";"SSOP-20W";1;"CH340T(SSOP20W)";;;
19;"MICRO_SD1";"TFC-WXCP11-08-LF";1;"TFC-WXCP11-08-LF";;;
20;"U4";"QFN32_EP(33)_5.00x5.00x0.90mm_Pitch_0.50mm";1;"LAN8710A-EZC(QFN32)";;;
21;"Sign_CE";"CE_Sign";1;"CE_Sign";;;
22;"CON2,CON1";"TB3-DG306-5.0_3P";2;"DG306-5.0-3P";;;
23;"LED3";"LED-5mm-PTH-AK";1;"LED/IR333-A/5mm";;;
24;"U7";"RPM7236-H8";1;"VS1838B";;;
25;"CR1";"5032-4P_HCX-3S";1;"Q50MHz/25ppm/3V/4P/5x3.2mm";;;
26;"R29,R56,R49,R45,R30,R40,R38,R35,R34,R24,R23,R22,R6,R2,R51";"R_0603_5MIL_DWS";15;"10k/R0603";;;
27;"C2,C4,C10";"C_0805_5MIL_DWS";3;"47uF/6.3V/20%/X5R/C0805";;;
28;"Fid2,Fid1,Fid3";"Fiducial1x3";3;"";;;
29;"R25";"0R_0603";1;"0R(board_mounted)";;;
30;"D2";"DO214AA_1(K)-2(A)";1;"SMBJ6.0A(DO-214AA)";;;
31;"R57";"R_0603_5MIL_DWS";1;"NA(1k/R0603)";;;
32;"R44,R54,R48,R46,R17,R12";"R_0603_5MIL_DWS";6;"NA/R0603";;;
33;"U10,U9";"SOT23-3";2;"BAT54C(SOT23-3)";;;
34;"Sign-RoHS";"LOGO_ROHS_1";1;"Val**";;;
35;"Sign-RecycleBin";"LOGO_RECYCLEBIN_1";1;"";;;
36;"Sign-PbFree";"LOGO_PBFREE";1;"";;;
37;"Logo-OSHW";"LOGO_OPENHARDWARE_8x8";1;"";;;
38;"Sign-Antistatic";"LOGO_ANTISTATIC_1";1;"Val**";;;
39;"R37,R27,R26,R16,R14";"R_0603_5MIL_DWS";5;"220R/R0603";;;
40;"C3,C1";"C_0805_5MIL_DWS";2;"NA(47uF/6.3V/20%/X5R/C0805)";;;
41;"R20";"R_0603_5MIL_DWS";1;"49.9k/1%/R0603";;;
42;"R19";"R_0603_5MIL_DWS";1;"220k/R0603";;;
43;"R4,R21,R18,R11,R3,R7";"R_0603_5MIL_DWS";6;"2.2k/R0603";;;
44;"R55,R42,R41,R5,R1,R50";"R_0603_5MIL_DWS";6;"1k/R0603";;;
45;"R53";"R_1206_5MIL_DWS";1;"6.8R/R1206";;;
46;"R47";"R_1206_5MIL_DWS";1;"120R/R1206";;;
47;"CAN_T1,PHY_RST1";"SJ";2;"Opened";;;
48;"C28";"C_0603_5MIL_DWS";1;"NA(470nF/16V/10%/X7R/C0603)";;;
49;"C27,C25,C24,C17,C15,C14,C13,C11,C30";"C_0603_5MIL_DWS";9;"100nF/50V/20%/Y5V/C0603";;;
50;"C26";"C_0603_5MIL_DWS";1;"10uF/6.3V/20%/X5R/C0603";;;
51;"C23,C12,C9,C8,C7,C6,C5,C29";"C_0603_5MIL_DWS";8;"22uF/6.3V/20%/X5R/C0603";;;
52;"C22,C21";"C_0603_5MIL_DWS";2;"27pF/50V/5%/C0G/C0603";;;
53;"C20";"C_1206_5MIL_DWS_ISO";1;"NA(1nF/2000V/10%/X7R/C1206)";;;
54;"C19";"C_1206_5MIL_DWS_ISO";1;"1nF/2000V/10%/X7R/C1206";;;
55;"MH3,MH2";"Mounting_hole_Shield_3.3mm";2;"Mounting_hole_Shield_3.3mm";;;
56;"R39";"R_0603_5MIL_DWS";1;"12.1k/1%/R0603";;;
57;"PWRLED1";"LED_0603_KA";1;"LED/RED/0603";;;
58;"LED2,LED1";"LED_0603_KA";2;"LED/GREEN/0603";;;
59;"GND1";"TESTPAD_40-ROUND";1;"TESTPAD";;;
60;"C18";"C_0603_5MIL_DWS";1;"1nF/50V/5%/NPO(COG)/C0603";;;
61;"C16";"C_0603_5MIL_DWS";1;"2.2uF/6.3V/10%/X5R/C0603";;;
62;"MH1";"Mounting_hole_3.3mm";1;"Mounting_hole_Shield_3.3mm";;;
63;"Logo-Olimex-Big";"OLIMEX_LOGO_TB";1;"";;;
64;"RM1,RM2,RM3";"R_MATRIX_4";3;"RA1206_(4X0603)_4B8_2.2k";;;
65;"U2";"SOT-23-5";1;"SY8089AAAC(SOT23-5)";;;
66;"Q1,Q4,Q5,Q7,Q2";"SOT23";5;"BC817-40(SOT23)";;;
67;"FET2,FET1,FET3";"SOT23";3;"WPM2015-3/TR";;;
68;"U8";"SOT-23-5";1;"NA(NCP303LSN27T1G(SOT-23-5))";;;
69;"L4,L3,L1";"L_0805_5MIL_DWS";3;"600R/2A/UPZ2012E-601-2R0TF";;;
70;"L2";"CD32";1;"2.2uH/NRS3015T2R2MNGH";;;
71;"5.0V/3.3V1";"SJ_2_SMALL_12_TIED";1;"Closed(1-2)/Opened(2-3)";;;
72;"FET4";"SOT23";1;"BSS138";;;
73;"L5";"L_0805_5MIL_DWS";1;"NA(FB0805/600R/2A)";;;
74;"Logo-Olimex_Small";"LOGO_OLIMEX_80";1;"";;;
75;"CHARGE1";"LED_0603_KA";1;"LED/Yellow/0603";;;
76;"U1";"SOT-23-5";1;"TP4054-42-SOT25-R";;;
77;"R8";"R_0603_5MIL_DWS";1;"2k/1%/R0603";;;
78;"BAT/BUT1";"SJ_2_SMALL";1;"Opened(2-3)/Soldered(1-2)";;;
79;"R9,R10";"R_0603_5MIL_DWS";2;"470k/R0603";;;
80;"C31,C32";"C_0603_5MIL_DWS";2;"1uF/10V/10%/X5R/C0603";;;
81;"R13";"R_0603_5MIL_DWS";1;"330R/R0603";;;
82;"R15";"R_0603_5MIL_DWS";1;"680R/R0603";;;
83;"TVS1";"SOT-23-5";1;"ESDS314DBVR(SOT-23-5)";;;
84;"D10";"SOT23-3";1;"BAT54A(SOT23-3)";;;
85;"R52";"R_0603_5MIL_DWS";1;"100k/R0603";;;
86;"U11";"SOT-23";1;"HX7027(SOT-23)";;;
